821	722	871	A
-730	-878	-800	B
-622	574	135	D
-958	-40	-375	B
-580	-741	-549	B
-454	400	137	D
-200	992	425	D
-720	-421	-487	B
-402	214	-77	D
-606	349	-25	D
-415	98	-22	D
413	-412	111	C
-804	273	-99	D
826	-906	-19	C
-525	756	271	D
739	-430	231	C
450	-76	338	C
937	579	903	A
494	221	467	A
930	998	1010	A
-244	-618	-378	B
111	181	176	A
-890	315	-171	D
322	-944	-186	C
-418	-716	-545	B
970	440	895	A
-808	-659	-577	B
-88	-122	48	B
-921	528	-88	D
960	16	624	A
411	-409	64	C
162	-861	-186	C
314	-997	-264	C
-637	-381	-314	B
809	-761	73	C
852	-93	389	C
-399	555	214	D
192	48	316	A
-211	-38	-77	B
-257	-82	-137	B
-278	-112	1	B
-820	-20	-269	B
-889	996	88	D
523	479	569	A
-243	-434	-331	B
-223	285	144	D
-767	-675	-556	B
255	-913	-234	C
794	2	550	A
758	91	452	A
-273	933	370	D
-110	-181	31	B
-884	-138	-393	B
72	709	467	A
391	-128	306	C
201	-918	-273	C
44	361	297	A
213	-467	-29	C
630	545	627	A
-286	-558	-418	B
-240	-876	-515	B
638	-757	33	C
83	-146	131	C
963	-610	232	C
665	-290	219	C
719	981	902	A
808	856	1000	A
40	756	596	A
-610	-391	-431	B
-48	-610	-224	B
-811	-444	-594	B
696	-86	434	C
905	-779	81	C
548	-321	185	C
-332	-552	-384	B
629	700	709	A
487	-413	115	C
325	575	571	A
248	-471	-108	C
471	-709	-107	C
587	386	491	A
-421	-561	-430	B
-339	-194	-193	B
420	868	757	A
853	-28	419	C
479	88	321	A
-543	-714	-610	B
-649	995	232	D
-351	203	86	D
67	-334	-16	C
696	724	847	A
-170	657	340	D
-176	152	19	D
-223	-630	-316	B
765	-572	264	C
513	187	549	A
-821	337	-104	D
-852	-519	-642	B
245	345	314	A
468	317	469	A
166	-356	-38	C
299	-559	40	C
-49	102	141	D
299	-905	-212	C
988	328	747	A
-140	179	48	D
749	36	424	A
-929	-843	-763	B
535	-766	-22	C
-885	-296	-447	B
658	866	868	A
975	16	520	A
304	-404	106	C
176	-188	78	C
899	88	611	A
-848	164	-317	D
-386	164	43	D
-428	-544	-424	B
42	-199	75	C
-802	680	71	D
628	784	728	A
-478	-802	-503	B
-197	381	165	D
-887	-618	-681	B
-960	-459	-650	B
382	906	767	A
-96	-572	-183	B
-358	-855	-428	B
922	-415	410	C
-402	164	61	D
-154	-631	-385	B
1000	-769	270	C
-445	-814	-541	B
363	-393	182	C
727	-712	186	C
723	-443	319	C
167	594	386	A
-955	-250	-584	B
-916	-64	-428	B
-276	-98	-32	B
-20	-735	-285	B
-658	185	-128	D
968	269	690	A
380	430	504	A
-522	-526	-451	B
-947	-697	-628	B
890	957	1065	A
924	-276	358	C
454	-372	180	C
365	-177	278	C
898	116	670	A
-685	-495	-534	B
-985	-543	-675	B
-985	373	-152	D
488	-924	-56	C
321	-688	-113	C
850	895	930	A
783	-19	563	C
799	149	514	A
-145	-991	-439	B
403	534	527	A
-992	-432	-530	B
743	812	793	A
851	-93	458	C
-654	-727	-533	B
-89	210	124	D
-71	39	131	D
-798	-759	-749	B
132	887	618	A
840	-232	338	C
946	-552	233	C
78	-370	-70	C
-494	-349	-301	B
412	999	895	A
-984	-440	-559	B
474	238	512	A
406	812	743	A
-322	651	322	D
-517	-577	-464	B
-558	-897	-618	B
-987	-70	-504	B
-113	870	395	D
-584	-494	-361	B
821	-589	307	C
471	-68	371	C
-780	387	-147	D
996	693	974	A
350	597	662	A
-644	-177	-404	B
568	-908	-1	C
-368	921	474	D
-255	553	239	D
-859	-783	-770	B
-221	-177	-151	B
414	-596	12	C
-485	203	-93	D
-505	-511	-406	B
-256	-455	-258	B
228	-77	86	C
165	-572	-96	C
208	969	687	A
-643	-517	-443	B
-167	95	59	D
-443	-894	-551	B
-625	-23	-138	B
-338	112	-56	D
-732	205	-197	D
-938	-284	-424	B
584	-608	-11	C
-139	254	185	D
-737	-970	-739	B
-141	132	85	D
-715	889	128	D
-311	3	-151	D
480	623	613	A
-404	858	367	D
-909	587	-124	D
-138	-263	-45	B
-493	117	-160	D
-984	-745	-680	B
-274	-160	-199	B
-222	760	336	D
-396	-422	-343	B
737	539	651	A
-385	685	153	D
-951	-368	-508	B
-654	981	271	D
863	-780	188	C
-444	820	314	D
413	749	641	A
762	-319	405	C
-283	-247	-181	B
8	-430	-154	C
-550	201	-62	D
-454	-17	-139	B
157	381	439	A
-598	-198	-206	B
-855	-647	-710	B
322	-903	-136	C
-669	173	-152	D
-678	233	-169	D
82	420	391	A
-915	378	-91	D
231	-358	12	C
-576	-435	-332	B
82	-262	90	C
-833	646	-32	D
-34	573	410	D
163	404	331	A
-404	-637	-418	B
401	-323	211	C
-421	-30	-45	B
147	361	402	A
985	70	638	A
-251	-932	-417	B
732	298	529	A
265	930	668	A
986	-604	233	C
-957	-884	-738	B
-398	-695	-415	B
-107	543	225	D
-47	918	561	D
-168	73	51	D
-294	983	448	D
-493	625	91	D
689	249	487	A
835	540	861	A
619	360	678	A
-517	946	329	D
607	-130	342	C
-207	723	336	D
-218	-502	-263	B
738	976	886	A
-442	962	384	D
-547	-386	-346	B
-149	436	157	D
179	19	263	A
